company_name,holder_count,is_shared,held_by_bdcs,industry_sector,business_description,total_positions,fair_value_millions,principal_millions,cost_millions,total_fair_value,total_principal,total_cost,has_business_desc,industry_classified
"Visual Edge Technology, Inc. (5)",1,False,Ares Capital Corporation,Industrial/Manufacturing,Provider of outsourced office solutions with a focus on printer and copier equipment and other parts and supplies,4,157.4,33.6,168.8,157400000.0,33600000.0,168800000.0,True,True
"EP Purchaser, LLC and TPG VIII EP Co-Invest II, L.P.",1,False,Ares Capital Corporation,Media & Entertainment,Provider of entertainment workforce and production management solutions,3,156.8,147.2,150.0,156800000.0,147200000.0,150000000.0,True,True
JW Aluminum Co,1,False,FS KKR Capital Corp,Unknown,,2,155.2,76.5,75.9,155200000.0,76500000.0,75900000.0,False,False
"QC Holdings TopCo, LLC",1,False,Prospect Capital Corporation,Unknown,,3,154.57,55.0,154.57,154572000.0,54997000.0,154572000.0,False,False
Time Manufacturing Co,1,False,FS KKR Capital Corp,Unknown,,8,152.7,102.3,163.8,152700000.0,102300000.0,163800000.0,False,False
Amerivet Partners Management Inc,1,False,FS KKR Capital Corp,Unknown,,4,152.1,152.7,152.2,152100000.0,152700000.0,152200000.0,False,False
"Project Essential Bidco, Inc. and Project Essential Super Parent, Inc.",1,False,Ares Capital Corporation,Software/Technology,Saas provider of automated crew callout and scheduling software for the utility industry,3,151.6,37.8,161.2,151600000.0,37800000.0,161200000.0,True,True
"Project Potter Buyer, LLC and Project Potter Parent, L.P.",1,False,Ares Capital Corporation,Software/Technology,Software solutions provider to the ready-mix concrete industry,6,151.6,72.5,145.0,151600000.0,72500000.0,145000000.0,True,True
"JW Aluminum Co, Preferred Stock",1,False,FS KKR Capital Corp,Unknown,,1,148.7,0.0,0.0,148700000.0,0.0,0.0,False,False
"Ansira Partners II, LLC",1,False,Main Street Capital Corporation,Business Services,Provider of Data-Driven Marketing Services,3,148.18,75.49,147.21,148184000.0,75490000.0,147206000.0,True,True
"Medical Solutions Holdings, Inc.",1,False,Prospect Capital Corporation,Unknown,,4,147.18,108.93,217.74,147180000.0,108926000.0,217744000.0,False,False
HuFriedy Group Acquisition LLC,1,False,Ares Capital Corporation,Healthcare Services,Manufacturer of surgical dental equipment and sterile instruments,2,146.8,73.4,146.8,146800000.0,73400000.0,146800000.0,True,True
"KKR Altitude II Offshore Aggregator LP, Partnership Interest",1,False,FS KKR Capital Corp,Unknown,,2,146.7,200719826.0,137.5,146700000.0,200719826000000.0,137500000.0,False,False
"Victors Purchaser, LLC and WP Victors Co-Investment, L.P.",1,False,Ares Capital Corporation,Other,Third-party maintenance provider for hardware and data center infrastructure,4,146.2,71.2,147.4,146200000.0,71200000.0,147400000.0,True,False
Redstone Holdco 2 LP,1,False,Prospect Capital Corporation,Unknown,,4,145.83,100.0,198.06,145834000.0,100000000.0,198058000.0,False,False
"Garyline, LLC",1,False,Main Street Capital Corporation,Industrial/Manufacturing,Manufacturer of Consumer Plastic Products,8,145.49,72.74,144.0,145486000.0,72735000.0,144002000.0,True,True
Lakeview Farms Inc,1,False,FS KKR Capital Corp,Unknown,,5,144.3,77.4,142.1,144300000.0,77400000.0,142100000.0,False,False
"PPL RVs, Inc.",1,False,Main Street Capital Corporation,Retail,Recreational Vehicle Dealer,10,142.61,36.33,81.61,142610000.0,36333000.0,81614000.0,True,True
USIC Holdings Inc,1,False,FS KKR Capital Corp,Unknown,,4,142.1,141.5,140.9,142100000.0,141500000.0,140900000.0,False,False
Foundation Consumer Brands LLC,1,False,FS KKR Capital Corp,Unknown,,3,141.5,141.5,137.3,141500000.0,141500000.0,137300000.0,False,False
Galaxy Universal LLC,1,False,FS KKR Capital Corp,Unknown,,4,141.1,124.3,124.1,141100000.0,124300000.0,124100000.0,False,False
"Victory Energy Operations, LLC",1,False,Main Street Capital Corporation,Industrial/Manufacturing,Provider of Industrial and Commercial Combustion Systems,4,140.89,48.25,140.89,140890000.0,48251000.0,140890000.0,True,True
"Recovery Solutions Parent, LLC",1,False,Prospect Capital Corporation,Unknown,,3,140.79,33.4,78.04,140792000.0,33399000.0,78042000.0,False,False
NMFC Senior Loan Program III LLC,1,False,New Mountain Finance Corporation,Unknown,,1,140.0,0.0,0.0,140000000.0,0.0,0.0,False,False
"Netsmart, Inc. and Netsmart Technologies, Inc.",1,False,Ares Capital Corporation,Software/Technology,Developer and operator of health care software and technology solutions,1,139.6,141.0,141.0,139600000.0,141000000.0,141000000.0,True,True
Legends Hospitality LLC,1,False,FS KKR Capital Corp,Unknown,,4,138.4,138.7,137.6,138400000.0,138700000.0,137600000.0,False,False
OneTouchPoint Corp,1,False,Prospect Capital Corporation,Unknown,,4,137.53,68.78,137.57,137534000.0,68784000.0,137568000.0,False,False
"Auctane, Inc.",1,False,Ares Capital Corporation,Transportation & Logistics,Provider of mailing and shipping solutions,1,136.6,143.8,143.8,136600000.0,143800000.0,143800000.0,True,True
"WatchGuard Technologies, Inc.",1,False,Prospect Capital Corporation,Unknown,,4,136.41,68.43,136.85,136414000.0,68426000.0,136852000.0,False,False
"New Benevis Topco, LLC / New Benevis Holdco, Inc.",1,False,New Mountain Finance Corporation,Unknown,,1,135.4,0.0,0.0,135401000.0,0.0,0.0,False,False
"Banyan Software Holdings, LLC and Banyan Software, LP",1,False,Ares Capital Corporation,Software/Technology,Vertical software businesses holding company,7,135.4,55.6,119.4,135400000.0,55600000.0,119400000.0,True,True
Radwell International LLC,1,False,FS KKR Capital Corp,Unknown,,4,135.2,135.2,135.2,135200000.0,135200000.0,135200000.0,False,False
"MAC Discount, LLC",1,False,Prospect Capital Corporation,Unknown,,6,134.96,65.57,136.18,134964000.0,65574000.0,136178000.0,False,False
"Altavair AirFinance, Private Equity",1,False,FS KKR Capital Corp,Unknown,,1,133.9,0.0,0.0,133900000.0,0.0,0.0,False,False
"Centre Technologies Holdings, LLC",1,False,Main Street Capital Corporation,Software/Technology,Provider of IT Hardware Services and Software Solutions,6,133.12,43.11,111.02,133116000.0,43108000.0,111024000.0,True,True
"WebPT, Inc. and WPT Intermediate Holdco, Inc.",1,False,Ares Capital Corporation,Software/Technology,Electronic medical record software provider,5,131.8,65.9,131.8,131800000.0,65900000.0,131800000.0,True,True
"eResearch Technology, Inc. and Astorg VII Co-Invest ERT",1,False,Ares Capital Corporation,Software/Technology,"Provider of mission-critical, software-enabled clinical research solutions",5,131.4,58.8,124.4,131400000.0,58800000.0,124400000.0,True,True
"Elgin AcquireCo, LLC",1,False,Main Street Capital Corporation,Industrial/Manufacturing,Manufacturer and Distributor of Engine and Chassis Components,12,131.18,49.42,127.23,131176000.0,49420000.0,127232000.0,True,True
"Storable, Inc. and EQT IX Co-Investment (E) SCSP",1,False,Ares Capital Corporation,Software/Technology,Payment management system solutions and web services for the self-storage industry,4,130.4,53.1,119.4,130400000.0,53100000.0,119400000.0,True,True
3Pillar Global Inc,1,False,FS KKR Capital Corp,Unknown,,2,129.5,131.6,130.9,129500000.0,131600000.0,130900000.0,False,False
"LeanTaaS Holdings, Inc.",1,False,Ares Capital Corporation,Software/Technology,Provider of SaaS tools to optimize healthcare asset utilization,3,128.6,64.3,128.6,128600000.0,64300000.0,128600000.0,True,True
"Channel Partners Intermediateco, LLC",1,False,Main Street Capital Corporation,Other,Outsourced Consumer Services Provider,8,128.55,88.77,132.34,128549000.0,88774000.0,132341000.0,True,False
Nexus Buyer LLC,1,False,Prospect Capital Corporation,Unknown,,4,128.0,64.0,128.0,128000000.0,64000000.0,128000000.0,False,False
"Amerivet Partners Management, Inc. and AVE Holdings LP",1,False,Ares Capital Corporation,Software/Technology,Veterinary practice management platform,4,127.8,66.2,138.6,127800000.0,66200000.0,138600000.0,True,True
Wellington Bidco Inc. and Wellington TopCo LP,1,False,Ares Capital Corporation,Software/Technology,Provider of ERP and payments software for local governments,4,127.8,61.5,127.8,127800000.0,61500000.0,127800000.0,True,True
Barbri Inc,1,False,FS KKR Capital Corp,Unknown,,1,126.9,130.5,127.0,126900000.0,130500000.0,127000000.0,False,False
"Activate Holdings (US) Corp. and CrossPoint Capital AS SPV, LP",1,False,Ares Capital Corporation,Software/Technology,"Provider of software services that support the management and security of computing devices, applications, data, and networks",4,125.4,49.4,119.2,125400000.0,49400000.0,119200000.0,True,True
NCI Inc,1,False,FS KKR Capital Corp,Unknown,,4,124.6,64.3,64.7,124600000.0,64300000.0,64700000.0,False,False
"Argenbright Holdings V, LLC, Amberstone Security Group Limited, Unifi Aviation North America LLC and Unifi Aviation Canada, Inc.",1,False,Ares Capital Corporation,Transportation & Logistics,"Provider of outsourced security guard services, outsourced facilities management and outsourced aviation services",5,124.2,62.1,124.0,124200000.0,62100000.0,124000000.0,True,True
"PetVet Care Centers, LLC",1,False,Ares Capital Corporation,Healthcare Services,Veterinary hospital operator,1,122.2,131.4,131.4,122200000.0,131400000.0,131400000.0,True,True
"AHR Funding Holdings, Inc. and AHR Parent Holdings, LP",1,False,Ares Capital Corporation,Healthcare Services,Provider of revenue cycle management solutions to hospitals,4,121.6,0.0,119.6,121600000.0,0.0,119600000.0,True,True
"Production Resource Group LLC, Preferred Stock, Series A PIK",1,False,FS KKR Capital Corp,Unknown,,1,120.7,0.0,0.0,120700000.0,0.0,0.0,False,False
Omnimax International Inc,1,False,FS KKR Capital Corp,Unknown,,1,120.3,121.2,117.3,120300000.0,121200000.0,117300000.0,False,False
"Bausch Health Cos Inc, Revolver",1,False,FS KKR Capital Corp,Unknown,,2,120.0,0.0,120.0,120000000.0,0.0,120000000.0,False,False
"ADG, LLC, GEDC Equity, LLC and RC IV GEDC Investor LLC (5)",1,False,Ares Capital Corporation,Healthcare Services,Dental services provider,4,118.8,58.9,176.6,118800000.0,58900000.0,176600000.0,True,True
"Computer Data Source, LLC",1,False,Main Street Capital Corporation,Other,Third Party Maintenance Provider to the Data Center Ecosystem,8,118.34,50.12,102.45,118339000.0,50118000.0,102451000.0,True,False
"Spectrum Vision Holdings, LLC",1,False,Prospect Capital Corporation,Unknown,,5,117.88,58.94,117.88,117878000.0,58939000.0,117878000.0,False,False
"Trinseo Materials Operating SCA / Trinseo Materials Finance Inc, Revolver",1,False,FS KKR Capital Corp,Unknown,,2,117.7,0.0,117.0,117700000.0,0.0,117000000.0,False,False
Pathway Vet Alliance LLC and Jedi Group Holdings LLC,1,False,Ares Capital Corporation,Healthcare Services,Veterinary hospital operator,3,117.6,76.3,164.6,117600000.0,76300000.0,164600000.0,True,True
TCP Hawker Intermediate LLC,1,False,Ares Capital Corporation,Other,Workforce management solutions provider,5,115.8,57.9,112.4,115800000.0,57900000.0,112400000.0,True,False
Lakefield Veterinary Group,1,False,FS KKR Capital Corp,Unknown,,2,115.3,80.4,117.5,115300000.0,80400000.0,117500000.0,False,False
"FlyWheel Acquireco, Inc.",1,False,Ares Capital Corporation,Business Services,"Professional employer organization offering human resources, compliance and risk management services",3,115.0,57.5,115.0,115000000.0,57500000.0,115000000.0,True,True
Net Lease,1,False,New Mountain Finance Corporation,Unknown,,3,114.79,0.0,81.37,114794000.0,0.0,81370000.0,False,False
TIBCO Software Inc,1,False,FS KKR Capital Corp,Unknown,,3,114.5,15.8,120.0,114500000.0,15800000.0,120000000.0,False,False
"Tamarack Intermediate, L.L.C. and Tamarack Parent, L.L.C.",1,False,Ares Capital Corporation,Software/Technology,"Provider of environment, health, safety, and sustainability software",5,114.4,51.0,112.2,114400000.0,51000000.0,112200000.0,True,True
"Kellermeyer Bergensons Services, LLC and KBS TopCo, LLC",1,False,Ares Capital Corporation,Real Estate,Provider of janitorial and facilities management services,4,114.2,55.7,125.2,114200000.0,55700000.0,125200000.0,True,True
"LGC US FINCO, LLC",1,False,Prospect Capital Corporation,Unknown,,4,113.81,57.82,114.99,113810000.0,57817000.0,114988000.0,False,False
"Orttech Holdings, LLC",1,False,Main Street Capital Corporation,Industrial/Manufacturing,"Distributor of Industrial Clutches, Brakes and Other Components",5,113.59,44.0,95.74,113590000.0,44000000.0,95740000.0,True,True
Lipari Foods LLC,1,False,FS KKR Capital Corp,Unknown,,2,113.1,114.3,113.4,113100000.0,114300000.0,113400000.0,False,False
Burgess Point Purchaser Corporation,1,False,Prospect Capital Corporation,Unknown,,4,113.03,60.0,120.0,113030000.0,60000000.0,120000000.0,False,False
NMFC Senior Loan Program IV LLC,1,False,New Mountain Finance Corporation,Unknown,,1,112.4,0.0,0.0,112400000.0,0.0,0.0,False,False
Investment Fund,1,False,New Mountain Finance Corporation,Unknown,,2,112.4,3.23,112.4,112400000.0,3232000.0,112400000.0,False,False
HM Dunn Co Inc,1,False,FS KKR Capital Corp,Unknown,,6,111.6,76.0,76.0,111600000.0,76000000.0,76000000.0,False,False
Motion Recruitment Partners LLC,1,False,FS KKR Capital Corp,Unknown,,1,111.3,114.5,112.1,111300000.0,114500000.0,112100000.0,False,False
Distribution & Logistics,1,False,New Mountain Finance Corporation,Unknown,,18,110.22,314.94,139.57,110221000.0,314937000.0,139574000.0,False,False
"Capstone Acquisition Holdings, Inc., Capstone Logistics Holdings, Inc. and Capstone Parent Holdings, LP",1,False,Ares Capital Corporation,Retail,Outsourced supply chain solutions provider to operators of distribution centers,3,110.1,94.1,101.4,110100000.0,94100000.0,101400000.0,True,True
"Pluralsight, LLC and Pluralsight Holdings, LLC and Paradigmatic Holdco LLC (4)",1,False,Ares Capital Corporation,Software/Technology,Online education learning platform,4,109.8,41.2,111.0,109800000.0,41200000.0,111000000.0,True,True
"TalkTalk Telecom Group Ltd, Revolver",1,False,FS KKR Capital Corp,Unknown,,4,109.6,0.0,109.1,109600000.0,0.0,109100000.0,False,False
Source Code LLC,1,False,FS KKR Capital Corp,Unknown,,3,109.1,109.1,107.9,109100000.0,109100000.0,107900000.0,False,False
"Discovery Point Retreat, LLC",1,False,Prospect Capital Corporation,Unknown,,6,109.06,17.9,88.04,109065000.0,17900000.0,88045000.0,False,False
Sweeping Corp of America Inc,1,False,FS KKR Capital Corp,Unknown,,6,108.9,128.8,126.5,108900000.0,128800000.0,126500000.0,False,False
"Appriss Health, LLC and Appriss Health Intermediate Holdings, Inc.",1,False,Ares Capital Corporation,Software/Technology,"Software platform for identification, prevention and management of substance use disorder",3,107.4,5.5,107.4,107400000.0,5500000.0,107400000.0,True,True
OEConnection LLC,1,False,FS KKR Capital Corp,Unknown,,5,107.3,99.1,107.8,107300000.0,99100000.0,107800000.0,False,False
"Reception Purchaser, LLC",1,False,Prospect Capital Corporation,Unknown,,2,107.08,62.26,123.04,107078000.0,62255000.0,123044000.0,False,False
"PSC Parent, Inc.",1,False,Ares Capital Corporation,Other,Provider of operational services for US petrochemical and refining companies,3,105.6,52.8,105.6,105600000.0,52800000.0,105600000.0,True,False
"IG Investor, LLC",1,False,Main Street Capital Corporation,Other,Military and Other Tactical Gear,4,102.6,37.26,102.6,102598000.0,37264000.0,102598000.0,True,False
Arcfield Acquisition Corp,1,False,FS KKR Capital Corp,Unknown,,3,101.6,101.6,101.2,101600000.0,101600000.0,101200000.0,False,False
Reliant Rehab Hospital Cincinnati LLC,1,False,FS KKR Capital Corp,Unknown,,5,101.6,184.6,172.7,101600000.0,184600000.0,172700000.0,False,False
Advania Sverige AB,1,False,FS KKR Capital Corp,Unknown,,2,101.2,0.0,116.9,101200000.0,0.0,116900000.0,False,False
"Raptor Technologies, LLC, Sycamore Bidco LTD and Rocket Parent, LLC",1,False,Ares Capital Corporation,Software/Technology,Provider of SaaS-based safety and security software to the K-12 school market,6,101.0,41.6,90.2,101000000.0,41600000.0,90200000.0,True,True
"SIO2 Medical Products, Inc.",1,False,Oaktree Specialty Lending Corporation,Unknown,,14,100.65,60.12,0.0,100650000.0,60123000.0,0.0,False,False
"Priority Waste Holdings LLC, Priority Waste Holdings Indiana LLC and Priority Waste Super Holdings, LLC",1,False,Ares Capital Corporation,Other,Solid waste services provider,5,100.4,45.5,91.6,100400000.0,45500000.0,91600000.0,True,False
"KKR Chord IP Aggregator LP, Partnership Interest",1,False,FS KKR Capital Corp,Unknown,,2,100.0,89528513.0,89.6,100000000.0,89528513000000.0,89600000.0,False,False
"Affordable Care Inc, Preferred Stock",1,False,FS KKR Capital Corp,Unknown,,2,99.9,0.0,0.0,99900000.0,0.0,0.0,False,False
"Spaceship Purchaser, Inc.",1,False,Ares Capital Corporation,Software/Technology,SaaS based website builder and hosting platform,1,99.7,100.7,100.7,99700000.0,100700000.0,100700000.0,True,True
"CBT Nuggets, LLC",1,False,Main Street Capital Corporation,Education,Produces and Sells IT Training Certification Videos,2,99.67,0.0,2.6,99670000.0,0.0,2600000.0,True,True
OCSI Glick JV LLC,1,False,Oaktree Specialty Lending Corporation,Unknown,,2,98.91,116.7,0.0,98913000.0,116698000.0,0.0,False,False
Coregistics Buyer LLC,1,False,Main Street Capital Corporation,Other,Contract Packaging Service Provider,5,98.6,51.52,100.73,98596000.0,51522000.0,100728000.0,True,False
Spotless Brands LLC,1,False,FS KKR Capital Corp,Unknown,,5,98.3,97.8,96.8,98300000.0,97800000.0,96800000.0,False,False
Worldwise Inc,1,False,FS KKR Capital Corp,Unknown,,6,97.0,103.9,103.8,97000000.0,103900000.0,103800000.0,False,False
"OMH-HealthEdge Holdings, LLC",1,False,Ares Capital Corporation,Healthcare Services,Revenue cycle management provider to the healthcare industry,1,96.9,96.9,96.9,96900000.0,96900000.0,96900000.0,True,True
"Tempus AI, Inc.",1,False,Ares Capital Corporation,Software/Technology,Provider of technology enabled precision medicine solutions,2,96.8,96.8,96.8,96800000.0,96800000.0,96800000.0,True,True
"American Nuts, LLC",1,False,Main Street Capital Corporation,Other,"Roaster, Mixer and Packager of Bulk Nuts and Seeds",10,96.38,66.69,132.24,96380000.0,66692000.0,132240000.0,True,False
"NM NL Holdings, L.P.",1,False,New Mountain Finance Corporation,Unknown,,1,96.07,0.0,0.0,96071000.0,0.0,0.0,False,False
Vitesse Systems,1,False,Main Street Capital Corporation,Software/Technology,Component Manufacturing and Machining Platform,3,95.74,47.87,93.84,95740000.0,47870000.0,93836000.0,True,True
Rosa Mexicano,1,False,Prospect Capital Corporation,Unknown,,6,95.6,56.07,112.13,95598000.0,56067000.0,112134000.0,False,False
"Vehicle Secured Funding Trust, Private Equity",1,False,FS KKR Capital Corp,Unknown,,1,94.9,94927993.0,94.9,94900000.0,94927993000000.0,94900000.0,False,False
"TDC LLP, Preferred Equity",1,False,FS KKR Capital Corp,Unknown,,4,94.4,0.0,63.6,94400000.0,0.0,63600000.0,False,False
Verify Diagnostics LLC,1,False,Prospect Capital Corporation,Unknown,,3,93.89,37.5,93.5,93890000.0,37500000.0,93500000.0,False,False
Digital Products Holdings LLC,1,False,Main Street Capital Corporation,Other,Designer and Distributor of Consumer Electronics,6,93.56,27.49,92.64,93564000.0,27490000.0,92642000.0,True,False
Community Brands Inc,1,False,FS KKR Capital Corp,Unknown,,5,93.2,93.8,92.8,93200000.0,93800000.0,92800000.0,False,False
Lucky US BuyerCo LLC,1,False,Prospect Capital Corporation,Unknown,,6,92.83,46.42,92.83,92830000.0,46415000.0,92830000.0,False,False
"UniTek Global Services, Inc.",1,False,New Mountain Finance Corporation,Unknown,,1,92.0,0.0,0.0,91999000.0,0.0,0.0,False,False
DFC Global Facility Borrower III LLC,1,False,Ares Capital Corporation,Financial Services,Non-bank provider of alternative financial services,1,91.4,91.3,98.3,91400000.0,91300000.0,98300000.0,True,True
"Robbins Bros. Jewelry, Inc.",1,False,Main Street Capital Corporation,Retail,Bridal Jewelry Retailer,8,90.59,67.77,177.22,90590000.0,67770000.0,177216000.0,True,True
"STG Distribution, LLC (f/k/a Reception Purchaser, LLC)",1,False,Prospect Capital Corporation,Unknown,,3,89.44,58.19,130.5,89440000.0,58191000.0,130497000.0,False,False
DOXA Insurance Holdings LLC,1,False,FS KKR Capital Corp,Unknown,,7,89.0,44.3,88.6,89000000.0,44300000.0,88600000.0,False,False
"UPS Intermediate, LLC",1,False,Main Street Capital Corporation,Industrial/Manufacturing,"Provider of Maintenance, Repair, and Overhaul Services for Industrial Equipment Serving the Refining, Chemical, Midstream, Renewables, Power, and Utilities End Markets",3,88.69,43.34,88.0,88694000.0,43339000.0,88002000.0,True,True
"Callodine Commercial Finance LLC, 2L Term Loan A",1,False,FS KKR Capital Corp,Unknown,,1,88.4,0.0,86.2,88400000.0,0.0,86200000.0,False,False
Laboratories Bidco LLC and Laboratories Topco LLC,1,False,Ares Capital Corporation,Other,Lab testing services for nicotine containing products,8,87.0,54.3,121.6,87000000.0,54300000.0,121600000.0,True,False
"Cybermedia Technologies, LLC",1,False,Main Street Capital Corporation,Software/Technology,IT and Digital Services Provider,3,86.78,28.64,86.78,86778000.0,28638000.0,86778000.0,True,True
"Boostability Parent, Inc.",1,False,Prospect Capital Corporation,Unknown,,2,85.54,42.77,85.54,85540000.0,42770000.0,85540000.0,False,False
"Nello Industries Investco, LLC",1,False,Main Street Capital Corporation,Telecommunications,Manufacturer of Steel Poles and Towers For Critical Infrastructure,4,85.01,27.2,78.13,85006000.0,27200000.0,78126000.0,True,True
Encora Digital LLC,1,False,FS KKR Capital Corp,Unknown,,2,84.7,65.1,83.5,84700000.0,65099999.99999999,83500000.0,False,False
"Callodine Commercial Finance LLC, 2L Term Loan B",1,False,FS KKR Capital Corp,Unknown,,3,84.5,0.0,84.2,84500000.0,0.0,84200000.0,False,False
"Diligent Corporation and Diligent Preferred Issuer, Inc.",1,False,Ares Capital Corporation,Software/Technology,Provider of secure SaaS solutions for board and leadership team documents,3,84.0,23.5,83.8,84000000.0,23500000.0,83800000.0,True,True
"Curia Global Inc, Revolver",1,False,FS KKR Capital Corp,Unknown,,2,83.3,0.0,83.3,83300000.0,0.0,83300000.0,False,False
"VPP Intermediate Holdings, LLC and VPP Group Holdings, L.P.",1,False,Ares Capital Corporation,Healthcare Services,Veterinary hospital operator,7,83.2,29.6,74.4,83200000.0,29600000.0,74400000.0,True,True
"TEC Services, LLC",1,False,Main Street Capital Corporation,Food & Beverage,Provider of Janitorial Service for Food Retailers,4,82.98,42.33,82.98,82980000.0,42333000.0,82980000.0,True,True
Revere Superior Holdings Inc,1,False,FS KKR Capital Corp,Unknown,,4,82.2,82.3,81.3,82200000.0,82300000.0,81300000.0,False,False
"Capital Automotive LP, Structured Mezzanine",1,False,FS KKR Capital Corp,Unknown,,2,81.6,0.0,80.5,81600000.0,0.0,80500000.0,False,False
"PDI TA Holdings, Inc., Peachtree Parent, Inc. and Insight PDI Holdings, LLC",1,False,Ares Capital Corporation,Software/Technology,Provider of enterprise management software for the convenience retail and petroleum wholesale market,5,81.4,6.7,75.8,81400000.0,6700000.0,75800000.0,True,True
"North Star Acquisitionco, LLC and Toucan Bidco Limited",1,False,Ares Capital Corporation,Software/Technology,Literacy solution software provider for grades k-12,5,80.4,40.3,81.2,80400000.0,40300000.0,81200000.0,True,True
"Voya CLO 2017-3, Ltd.",1,False,Prospect Capital Corporation,Unknown,,2,80.3,44.88,98.03,80304000.0,44885000.0,98034000.0,False,False
Miami Beach Medical Group LLC,1,False,FS KKR Capital Corp,Unknown,,3,80.3,139.2,127.6,80300000.0,139200000.0,127600000.0,False,False
Nordic Climate Group Holding AB,1,False,FS KKR Capital Corp,Unknown,,3,79.5,0.0,82.0,79500000.0,0.0,82000000.0,False,False
"HH-Stella, Inc. and Bedrock Parent Holdings, LP",1,False,Ares Capital Corporation,Other,Provider of municipal solid waste transfer management services,6,79.2,36.3,79.2,79200000.0,36300000.0,79200000.0,True,False
"NuStep, LLC",1,False,Main Street Capital Corporation,Industrial/Manufacturing,"Designer, Manufacturer and Distributor of Fitness Equipment",5,79.18,22.04,73.38,79178000.0,22040000.0,73380000.0,True,True
"My Community Homes PropCo 2, Private Equity",1,False,FS KKR Capital Corp,Unknown,,1,78.8,81136364.0,81.1,78800000.0,81136364000000.0,81100000.0,False,False
Gracent LLC,1,False,FS KKR Capital Corp,Unknown,,3,78.6,60.2,54.2,78600000.0,60200000.0,54200000.0,False,False
"PayPal Europe Sarl et Cie SCA, ABF Equity",1,False,FS KKR Capital Corp,Unknown,,1,78.1,70197743.0,76.2,78100000.0,70197743000000.0,76200000.0,False,False
"Computer Services, Inc.",1,False,Ares Capital Corporation,Software/Technology,Infrastructure software provider to community banks,4,78.0,39.0,78.0,78000000.0,39000000.0,78000000.0,True,True
Magna Legal Services LLC,1,False,FS KKR Capital Corp,Unknown,,9,78.0,55.0,77.4,78000000.0,55000000.0,77400000.0,False,False
"Julie Lindsey, Inc.",1,False,Prospect Capital Corporation,Unknown,,4,77.6,38.8,77.6,77600000.0,38800000.0,77600000.0,False,False
"Shutterfly Finance, LLC",1,False,Prospect Capital Corporation,Unknown,,6,77.47,42.7,85.44,77466000.0,42701000.0,85442000.0,False,False
MRI Software LLC,1,False,Ares Capital Corporation,Software/Technology,Provider of real estate and investment management software,4,77.0,38.5,77.0,77000000.0,38500000.0,77000000.0,True,True
Consumer Products,1,False,New Mountain Finance Corporation,Unknown,,10,76.62,42.45,82.71,76619000.0,42448000.0,82709000.0,False,False
Highgate Hotels Inc,1,False,FS KKR Capital Corp,Unknown,,4,76.0,76.0,75.3,76000000.0,76000000.0,75300000.0,False,False
"Olympia Acquisition, Inc., Olympia TopCo, L.P., and Asclepius Holdings LLC (5)",1,False,Ares Capital Corporation,Software/Technology,Behavioral health and special education platform provider,6,76.0,81.7,151.6,76000000.0,81700000.0,151600000.0,True,True
Element Materials Technology Group US Holdings Inc,1,False,FS KKR Capital Corp,Unknown,,3,75.9,78.9,78.1,75900000.0,78900000.0,78100000.0,False,False
VVS Holdco LLC,1,False,Main Street Capital Corporation,Retail,Omnichannel Retailer of Animal Health Products,3,75.8,25.76,75.8,75802000.0,25760000.0,75802000.0,True,True
NexRev LLC,1,False,Main Street Capital Corporation,Energy & Utilities,Provider of Energy Efficiency Products & Services,6,75.64,19.62,71.96,75644000.0,19622000.0,71960000.0,True,True
Radwell International LLC/PA,1,False,FS KKR Capital Corp,Unknown,,4,75.6,74.3,74.3,75600000.0,74300000.0,74300000.0,False,False
"Avalign Holdings, Inc. and Avalign Technologies, Inc.",1,False,Ares Capital Corporation,Healthcare Services,Full-service contract manufacturer of medical device components for the orthopedic OEM industry,3,75.2,40.5,81.0,75200000.0,40500000.0,81000000.0,True,True
Wellful Inc.,1,False,Prospect Capital Corporation,Unknown,,5,74.64,46.24,90.61,74644000.0,46242000.0,90606000.0,False,False
Parts Town LLC,1,False,FS KKR Capital Corp,Unknown,,1,74.3,74.5,74.0,74300000.0,74500000.0,74000000.0,False,False
"Trantech Radiator Topco, LLC",1,False,Main Street Capital Corporation,Other,Transformer Cooling Products and Services,8,74.17,15.84,50.15,74168000.0,15840000.0,50148000.0,True,False
Denali Holdco LLC and Denali Apexco LP,1,False,Ares Capital Corporation,Software/Technology,Provider of cybersecurity audit and assessment services,3,73.8,33.3,71.6,73800000.0,33299999.999999996,71600000.0,True,True
Net Documents,1,False,FS KKR Capital Corp,Unknown,,6,73.7,73.3,73.0,73700000.0,73300000.0,73000000.0,False,False
"Wellpath Holdings, Inc.",1,False,Prospect Capital Corporation,Unknown,,3,73.43,51.09,101.66,73432000.0,51091000.0,101658000.0,False,False
Heritage Environmental Services Inc,1,False,FS KKR Capital Corp,Unknown,,4,73.2,72.6,72.2,73200000.0,72600000.0,72200000.0,False,False
DuBois Chemicals Inc,1,False,FS KKR Capital Corp,Unknown,,3,73.2,73.1,72.9,73200000.0,73100000.0,72900000.0,False,False
"Barracuda Parent, LLC",1,False,Prospect Capital Corporation,Unknown,,4,72.38,40.0,78.33,72378000.0,40000000.0,78326000.0,False,False
"Avalara, Inc.",1,False,Ares Capital Corporation,Software/Technology,Provider of cloud-based solutions for transaction tax compliance worldwide,1,72.2,72.2,72.2,72200000.0,72200000.0,72200000.0,True,True
