adsh	cik	name	countryba	stprba	cityba	zipba	bas1	bas2	baph	countryma	stprma	cityma	zipma	mas1	mas2	countryinc	stprinc	ein	former	changed	afs	wksi	fye	form	period	fy	fp	filed	fileNumber	accepted	prevrpt	detail	instance	pubfloatusd	floatdate	inlineurl
0001901606-25-000079	1901606	GOLUB CAPITAL DIRECT LENDING UNLEVERED CORP	US	NY	NEW YORK	10166	200 PARK AVENUE	25TH FLOOR	212-750-6060	US	NY	NEW YORK	10166	200 PARK AVENUE	25TH FLOOR	US	MD	000000000	GOLUB CAPITAL DIRECT LENDING UNLEVERED LLC	20211228	4-NON	0	0930	10-K	20250930	2025	FY	20251126	814-01505	2025-11-26 15:29:00.0	0	1	gdlcu-20250930_htm.xml	0.00	20250930	https://www.sec.gov/ix?doc=/Archives/edgar/data/1901606/000190160625000079/gdlcu-20250930.htm
0001913724-25-000088	1913724	TPG TWIN BROOK CAPITAL INCOME FUND	US	NY	NEW YORK	10167	245 PARK AVENUE, 26TH FLOOR		(212) 692-8237	US	NY	NEW YORK	10167	245 PARK AVENUE, 26TH FLOOR		US	DE	886103622	AG TWIN BROOK CAPITAL INCOME FUND	20220225	4-NON	0	1231	10-Q	20250930	2025	Q3	20251112	814-01523	2025-11-10 17:56:00.0	0	1	tcap-20250930_htm.xml			https://www.sec.gov/ix?doc=/Archives/edgar/data/1913724/000191372425000088/tcap-20250930.htm
0001193125-25-269512	1278752	MIDCAP FINANCIAL INVESTMENT CORP	US	NY	NEW YORK	10019	9 W. 57TH STREET		(212) 822-0509	US	NY	NEW YORK	10019	9 W. 57TH STREET		US	MD	522439556	APOLLO INVESTMENT CORP	20040227	1-LAF	0	1231	10-Q	20250930	2025	Q3	20251106	814-00646	2025-11-06 16:13:00.0	0	1	mfic-20250930_htm.xml			https://www.sec.gov/ix?doc=/Archives/edgar/data/1278752/000119312525269512/mfic-20250930.htm
0001193125-25-279957	1950803	STEPSTONE PRIVATE CREDIT FUND LLC	US	NY	NEW YORK	10172	277 PARK AVENUE	44TH FLOOR	212-351-6100	US	NY	NEW YORK	10172	277 PARK AVENUE	44TH FLOOR	US	DE	000000000			4-NON	0	1231	10-Q	20250930	2025	Q3	20251113	814-01624	2025-11-13 15:07:00.0	0	1	d202550d10q_htm.xml			https://www.sec.gov/ix?doc=/Archives/edgar/data/1950803/000119312525279957/d202550d10q.htm
0001193125-25-278786	1843162	CHICAGO ATLANTIC BDC, INC.	US	NY	NEW YORK	10022	600 MADISON AVE, SUITE 1800		(212) 905-4923	US	NY	NEW YORK	10022	600 MADISON AVE, SUITE 1800		US	MD	000000000	SILVER SPIKE INVESTMENT CORP.	20210128	4-NON	0	1231	10-Q	20250930	2025	Q3	20251113	814-01383	2025-11-13 06:56:00.0	0	1	lien-20250930_htm.xml			https://www.sec.gov/ix?doc=/Archives/edgar/data/1843162/000119312525278786/lien-20250930.htm
0001193125-25-280638	1993402	ANTARES STRATEGIC CREDIT FUND	US	IL	CHICAGO	60661	C/O ANTARES CAPITAL CREDIT ADVISERS LLC	500 WEST MONROE STREET, SUITE 1700	312-638-4000	US	IL	CHICAGO	60661	C/O ANTARES CAPITAL CREDIT ADVISERS LLC	500 WEST MONROE STREET, SUITE 1700	US	DE	000000000			4-NON	0	1231	10-Q	20250930	2025	Q3	20251114	814-01700	2025-11-13 18:19:00.0	0	1	ck0001993402-20250930_htm.xml			https://www.sec.gov/ix?doc=/Archives/edgar/data/1993402/000119312525280638/ck0001993402-20250930.htm
0001838126-25-000073	1838126	HPS CORPORATE LENDING FUND	US	NY	NEW YORK	10019	40 WEST 57TH STREET, 33RD FLOOR		212.287.6767	US	NY	NEW YORK	10019	40 WEST 57TH STREET, 33RD FLOOR		US	NY	876391045			4-NON	0	1231	10-Q	20250930	2025	Q3	20251114	814-01431	2025-11-14 13:58:00.0	0	1	hps-20250930_htm.xml			https://www.sec.gov/ix?doc=/Archives/edgar/data/1838126/000183812625000073/hps-20250930.htm
0001379785-25-000050	1379785	BARINGS BDC, INC.	US	NC	CHARLOTTE	28202	300 SOUTH TRYON STREET	SUITE 2500	(704) 805-7200	US	NC	CHARLOTTE	28202	300 SOUTH TRYON STREET	SUITE 2500	US	NC	061798488	TRIANGLE CAPITAL CORP	20061101	1-LAF	0	1231	10-Q	20250930	2025	Q3	20251106	814-00733	2025-11-06 16:21:00.0	0	1	bbdc-20250930_htm.xml			https://www.sec.gov/ix?doc=/Archives/edgar/data/1379785/000137978525000050/bbdc-20250930.htm
0001213900-25-110796	1817825	STEELE CREEK CAPITAL CORP	US	NC	CHARLOTTE	28244	201 S. COLLEGE ST	SUITE 1690	971-719-5750	US	NC	CHARLOTTE	28244	201 S. COLLEGE ST	SUITE 1690	US	MD	000000000	MSC CAPITAL LLC	20200713	4-NON	0	1231	10-Q	20250930	2025	Q3	20251114	814-01351	2025-11-14 15:52:00.0	0	1	ea0262329-10q_steele_htm.xml			https://www.sec.gov/ix?doc=/Archives/edgar/data/1817825/000121390025110796/ea0262329-10q_steele.htm
0001193125-25-264648	1932591	SLR PRIVATE CREDIT BDC II LLC	US	NY	NEW YORK	10022	500 PARK AVENUE		2129931660	US	NY	NEW YORK	10022	500 PARK AVENUE		US	DE	881890628			4-NON	0	1231	10-Q	20250930	2025	Q3	20251104	814-01616	2025-11-04 16:06:00.0	0	1	ck0001932591-20250930_htm.xml			https://www.sec.gov/ix?doc=/Archives/edgar/data/1932591/000119312525264648/ck0001932591-20250930.htm
0001193125-25-280628	2065397	ANTARES STRATEGIC CREDIT FUND II LLC	US	IL	CHICAGO	60606	320 SOUTH CANAL STREET	SUITE 4200	312-638-4000	US	IL	CHICAGO	60606	320 SOUTH CANAL STREET	SUITE 4200	US	DE	000000000			4-NON	0	1231	10-Q	20250930	2025	Q2	20251114	814-01874	2025-11-13 18:13:00.0	0	1	ck0002065397-20250930_htm.xml			https://www.sec.gov/ix?doc=/Archives/edgar/data/2065397/000119312525280628/ck0002065397-20250930.htm
0001213900-25-110066	845385	PRINCETON CAPITAL CORP	US	MA	NORTH ANDOVER	01845	800 TURNPIKE STREET	SUITE 300	978-794-3366	US	MA	NORTH ANDOVER	01845	800 TURNPIKE STREET	SUITE 300	US	MD	463516073	REGAL ONE CORP	20090730	4-NON	0	1231	10-Q	20250930	2025	Q3	20251113	814-00710	2025-11-13 16:47:00.0	0	1	ea0264617-10q_prince_htm.xml			https://www.sec.gov/ix?doc=/Archives/edgar/data/845385/000121390025110066/ea0264617-10q_prince.htm
0001702510-25-000139	1702510	CARLYLE CREDIT SOLUTIONS, INC.	US	NY	NEW YORK	10017	ONE VANDERBILT AVENUE	SUITE 3400	212-813-4900	US	NY	NEW YORK	10017	ONE VANDERBILT AVENUE	SUITE 3400	US	MD	815320146	TCG BDC II, INC.	20170330	4-NON	0	1231	10-Q	20250930	2025	Q3	20251112	814-01248	2025-11-12 16:02:00.0	0	1	cars-20250930_htm.xml			https://www.sec.gov/ix?doc=/Archives/edgar/data/1702510/000170251025000139/cars-20250930.htm
0001193125-25-280138	1954360	CRESCENT PRIVATE CREDIT INCOME CORP	US	CA	LOS ANGELES	90025	11100 SANTA MONICA BLVD.	SUITE 2000	310-235-5900	US	CA	LOS ANGELES	90025	11100 SANTA MONICA BLVD.	SUITE 2000	US	MD	884283363			4-NON	0	1231	10-Q	20250930	2025	Q3	20251113	814-01599	2025-11-13 16:08:00.0	0	1	ck0001954360-20250930_htm.xml			https://www.sec.gov/ix?doc=/Archives/edgar/data/1954360/000119312525280138/ck0001954360-20250930.htm
0001193125-25-269840	1572694	GOLDMAN SACHS BDC, INC.	US	NY	NEW YORK	10282	200 WEST STREET	ATT: PRIVATE CREDIT GROUP	1-212-902-0328	US	NY	NEW YORK	10282	200 WEST STREET	ATT: PRIVATE CREDIT GROUP	US	DE	462176593	GOLDMAN SACHS LIBERTY HARBOR CAPITAL, LLC	20130321	1-LAF	0	1231	10-Q	20250930	2025	Q3	20251106	814-00998	2025-11-06 16:47:00.0	0	1	gsbd-20250930_htm.xml			https://www.sec.gov/ix?doc=/Archives/edgar/data/1572694/000119312525269840/gsbd-20250930.htm
0001193125-25-277763	1905824	PIMCO CAPITAL SOLUTIONS BDC CORP.	US	CA	NEWPORT BEACH	92660	650 NEWPORT CENTER DRIVE		888.887.4626	US	CA	NEWPORT BEACH	92660	650 NEWPORT CENTER DRIVE		US	DE	000000000			4-NON	0	1231	10-Q	20250930	2025	Q3	20251112	814-01549	2025-11-12 16:33:00.0	0	1	d67463d10q_htm.xml			https://www.sec.gov/ix?doc=/Archives/edgar/data/1905824/000119312525277763/d67463d10q.htm
0001193125-25-276098	2012139	FORTRESS PRIVATE LENDING FUND	US	NY	NEW YORK	10105	1345 AVENUE OF THE AMERICAS		(212) 798-6100	US	NY	NEW YORK	10105	1345 AVENUE OF THE AMERICAS		US	DE	000000000			4-NON	0	1231	10-Q	20250930	2025	Q3	20251112	814-01880	2025-11-12 08:28:00.0	0	1	ck0002012139-20250930_htm.xml			https://www.sec.gov/ix?doc=/Archives/edgar/data/2012139/000119312525276098/ck0002012139-20250930.htm
0001792509-25-000029	1792509	TRIPLEPOINT PRIVATE VENTURE CREDIT INC.	US	CA	MENLO PARK	94025	2755 SAND HILL ROAD	SUITE 150	650-233-2102	US	CA	MENLO PARK	94025	2755 SAND HILL ROAD	SUITE 150	US	MD	843383695	TRIPLEPOINT GLOBAL VENTURE CREDIT, LLC	20191028	4-NON	0	1231	10-Q	20250930	2025	Q3	20251112	814-01327	2025-11-12 16:18:00.0	0	1	tpvc-20250930_htm.xml			https://www.sec.gov/ix?doc=/Archives/edgar/data/1792509/000179250925000029/tpvc-20250930.htm
0001193125-25-271605	1860424	ONEX DIRECT LENDING BDC FUND	US	NJ	ENGLEWOOD CLIFFS	07632	930 SYLVAN AVENUE		(201) 541-2121	US	NJ	ENGLEWOOD CLIFFS	07632	930 SYLVAN AVENUE		US	DE	000000000	ONEX FALCON DIRECT LENDING BDC FUND	20210709	4-NON	0	1231	10-Q	20250930	2025	Q3	20251107	814-01405	2025-11-07 12:02:00.0	0	1	ck0001860424-20250930_htm.xml			https://www.sec.gov/ix?doc=/Archives/edgar/data/1860424/000119312525271605/ck0001860424-20250930.htm
0001193125-25-278012	2052153	APOLLO ORIGINATION II (UL) CAPITAL TRUST	US	NY	NEW YORK	10019	9 WEST 57TH STREET, 42ND FLOOR		212-822-0516	US	NY	NEW YORK	10019	9 WEST 57TH STREET, 42ND FLOOR		US	DE	000000000			4-NON	0	1231	10-Q	20250930	2025	Q3	20251112	000-56723	2025-11-12 17:25:00.0	0	1	ck0002052153-20250930_htm.xml			https://www.sec.gov/ix?doc=/Archives/edgar/data/2052153/000119312525278012/ck0002052153-20250930.htm
0001661306-25-000087	1661306	HANCOCK PARK CORPORATE INCOME, INC.	US	IL	CHICAGO	60606	222 WEST ADAMS STREET	SUITE 1850	847-734-2000	US	IL	CHICAGO	60606	222 WEST ADAMS STREET	SUITE 1850	US	MD	810850535			4-NON	0	1231	10-Q	20250930	2025	Q3	20251107	814-01185	2025-11-07 12:25:00.0	0	1	han-20250930_htm.xml			https://www.sec.gov/ix?doc=/Archives/edgar/data/1661306/000166130625000087/han-20250930.htm
0001193125-25-282614	1987221	JOHN HANCOCK COMVEST PRIVATE INCOME FUND	US	FL	WEST PALM BEACH	33401	360 S. ROSEMARY AVENUE, SUITE 1700		(561) 727-2200	US	FL	WEST PALM BEACH	33401	360 S. ROSEMARY AVENUE, SUITE 1700		US	DE	932227144	AMG COMVEST SENIOR LENDING FUND	20231024	4-NON	0	1231	10-Q	20250930	2025	Q3	20251114	814-01669	2025-11-14 14:36:00.0	0	1	ck0001987221-20250930_htm.xml			https://www.sec.gov/ix?doc=/Archives/edgar/data/1987221/000119312525282614/ck0001987221-20250930.htm
0001193125-25-277634	2028686	SL INVESTMENT FUND II LLC	US	NY	NEW YORK	10036	1585 BROADWAY		212-761-4000	US	NY	NEW YORK	10036	1585 BROADWAY		US	DE	000000000			4-NON	0	1231	10-Q	20250930	2025	Q3	20251112	814-01754	2025-11-12 16:18:00.0	0	1	ck0002028686-20250930_htm.xml			https://www.sec.gov/ix?doc=/Archives/edgar/data/2028686/000119312525277634/ck0002028686-20250930.htm
0001193125-25-269438	1782524	MORGAN STANLEY DIRECT LENDING FUND	US	NY	NEW YORK	10036	1585 BROADWAY		212 761 0380	US	NY	NEW YORK	10036	1585 BROADWAY		US	DE	000000000	MORGAN STANLEY DIRECT LENDING FUND LLC	20190923	1-LAF	0	1231	10-Q	20250930	2025	Q3	20251106	814-01332	2025-11-06 16:04:00.0	0	1	msdl-20250930_htm.xml			https://www.sec.gov/ix?doc=/Archives/edgar/data/1782524/000119312525269438/msdl-20250930.htm
0001193125-25-277611	1983514	LGAM PRIVATE CREDIT LLC	US	NY	NEW YORK	10036	1585 BROADWAY		(212) 761-4000	US	NY	NEW YORK	10036	1585 BROADWAY		US	DE	000000000			4-NON	0	1231	10-Q	20250930	2025	Q3	20251112	814-01674	2025-11-12 16:17:00.0	0	1	ck0001983514-20250930_htm.xml			https://www.sec.gov/ix?doc=/Archives/edgar/data/1983514/000119312525277611/ck0001983514-20250930.htm
0001544206-25-000077	1544206	CARLYLE SECURED LENDING, INC.	US	NY	NEW YORK	10017	ONE VANDERBILT AVENUE, SUITE 3400		(212) 813-4900	US	NY	NEW YORK	10017	ONE VANDERBILT AVENUE, SUITE 3400		US	MD	454727439	TCG BDC, INC.	20170315	1-LAF	0	1231	10-Q	20250930	2025	Q3	20251104	814-00995	2025-11-04 16:02:00.0	0	1	csl-20250930_htm.xml			https://www.sec.gov/ix?doc=/Archives/edgar/data/1544206/000154420625000077/csl-20250930.htm
0001193125-25-271826	1902649	BLACKROCK PRIVATE CREDIT FUND	US	NY	NEW YORK	10001	50 HUDSON YARDS		(212) 813-5800	US	NY	NEW YORK	10001	50 HUDSON YARDS		US	DE	000000000			4-NON	0	1231	10-Q	20250930	2025	Q3	20251107	814-01485	2025-11-07 13:20:00.0	0	1	ck0001902649-20250930_htm.xml			https://www.sec.gov/ix?doc=/Archives/edgar/data/1902649/000119312525271826/ck0001902649-20250930.htm
0001193125-25-278006	2052152	APOLLO ORIGINATION II (LEVERED) CAPITAL TRUST	US	NY	NEW YORK	10019	9 WEST 57TH STREET, 42ND FLOOR		212-822-0516	US	NY	NEW YORK	10019	9 WEST 57TH STREET, 42ND FLOOR		US	DE	000000000	APOLLO ORIGINATION II (L) CAPITAL TRUST	20250114	4-NON	0	1231	10-Q	20250930	2025	Q3	20251112	000-56722	2025-11-12 17:23:00.0	0	1	none-20250930_htm.xml			https://www.sec.gov/ix?doc=/Archives/edgar/data/2052152/000119312525278006/none-20250930.htm
0001414932-25-000022	1414932	OAKTREE SPECIALTY LENDING CORP	US	CA	LOS ANGLES	90071	333 SOUTH GRAND AVENUE	28TH FLOOR	(213) 830-6300	US	CA	LOS ANGLES	90071	333 SOUTH GRAND AVENUE	28TH FLOOR	US	DE	261219283	FIFTH STREET FINANCE CORP.	20130926	1-LAF	1	0930	10-K	20250930	2025	FY	20251118	814-00755	2025-11-17 18:00:00.0	0	1	ocsl-20250930_htm.xml	1231000000.00	20250331	https://www.sec.gov/ix?doc=/Archives/edgar/data/1414932/000141493225000022/ocsl-20250930.htm
0001655887-25-000060	1655887	BLUE OWL CAPITAL CORP II	US	NY	NEW YORK	10022	399 PARK AVENUE		(212) 419-3000	US	NY	NEW YORK	10022	399 PARK AVENUE		US	MD	000000000	OWL ROCK CAPITAL CORP II	20151016	4-NON	0	1231	10-Q	20250930	2025	Q3	20251105	814-01219	2025-11-05 16:40:00.0	0	1	obdc-20250930_htm.xml			https://www.sec.gov/ix?doc=/Archives/edgar/data/1655887/000165588725000060/obdc-20250930.htm
0001104659-25-112365	1901037	STELLUS PRIVATE CREDIT BDC	US	TX	HOUSTON	77027	4400 POST OAK PARKWAY	SUITE 2200	7132925414	US	TX	HOUSTON	77027	4400 POST OAK PARKWAY	SUITE 2200	US	DE	876878660			4-NON	0	1231	10-Q	20250930	2025	Q3	20251114	814-01475	2025-11-14 15:02:00.0	0	1	tmb-20250930x10q_htm.xml			https://www.sec.gov/ix?doc=/Archives/edgar/data/1901037/000110465925112365/tmb-20250930x10q.htm
0001193125-25-269489	1513363	FIDUS INVESTMENT CORP	US	IL	EVANSTON	60201	1603 ORRINGTON AVENUE	SUITE 820	847-859-3940	US	IL	EVANSTON	60201	1603 ORRINGTON AVENUE	SUITE 820	US	MD	275017321			2-ACC	0	1231	10-Q	20250930	2025	Q3	20251106	814-00861	2025-11-06 16:10:00.0	0	1	fdus-20250930_htm.xml			https://www.sec.gov/ix?doc=/Archives/edgar/data/1513363/000119312525269489/fdus-20250930.htm
0001213900-25-112730	2045370	REMORA CAPITAL CORP	US	TN	NASHVILLE	37203	3200 WEST END AVENUE	SUITE 500	615-380-1095	US	TN	NASHVILLE	37203	3200 WEST END AVENUE	SUITE 500	US	MD	000000000			4-NON	0	1231	10-Q	20250930	2025	Q3	20251119	814-01897	2025-11-19 17:24:00.0	0	1	ea0266252-10q_remora_htm.xml			https://www.sec.gov/ix?doc=/Archives/edgar/data/2045370/000121390025112730/ea0266252-10q_remora.htm
0001512931-25-000074	1512931	MONROE CAPITAL CORP	US	IL	CHICAGO	60606	155 NORTH WACKER DRIVE	FLOOR 35	312-258-8300	US	IL	CHICAGO	60606	155 NORTH WACKER DRIVE	FLOOR 35	US	NY	274895840			4-NON	0	1231	10-Q	20250930	2025	Q3	20251105	814-00866	2025-11-05 17:11:00.0	0	1	mrcc-20250930_htm.xml			https://www.sec.gov/ix?doc=/Archives/edgar/data/1512931/000151293125000074/mrcc-20250930.htm
0001213900-25-109299	1985375	MUZINICH CORPORATE LENDING INCOME FUND, INC.	US	NY	NEW YORK	10022	450 PARK AVENUE		212-888-3413	US	NY	NEW YORK	10022	450 PARK AVENUE		US	DE	000000000	MUZINICH DIRECT LENDING INCOME FUND, INC.	20230713	4-NON	0	1231	10-Q	20250930	2025	Q3	20251112	814-01659	2025-11-12 16:54:00.0	0	1	ea0264889-10q_muzinich_htm.xml			https://www.sec.gov/ix?doc=/Archives/edgar/data/1985375/000121390025109299/ea0264889-10q_muzinich.htm
0001193125-25-266848	1925309	SIXTH STREET LENDING PARTNERS	US	TX	DALLAS	75201	2100 MCKINNEY AVENUE	SUITE 1500	(469) 621-3001	US	TX	DALLAS	75201	2100 MCKINNEY AVENUE	SUITE 1500	US	DE	881710161			4-NON	0	1231	10-Q	20250930	2025	Q3	20251105	814-01543	2025-11-05 16:02:00.0	0	1	ck0001925309-20250930_htm.xml			https://www.sec.gov/ix?doc=/Archives/edgar/data/1925309/000119312525266848/ck0001925309-20250930.htm
0001825248-25-000022	1825248	FRANKLIN BSP CAPITAL CORP	US	NY	NEW YORK	10010	ONE MADISON AVENUE	SUITE 1600	(212) 588-6700	US	NY	NEW YORK	10010	ONE MADISON AVENUE	SUITE 1600	US	DE	000000000	FRANKLIN BSP CAPITAL L.L.C.	20200917	4-NON	0	1231	10-Q	20250930	2025	Q3	20251112	814-01360	2025-11-12 15:17:00.0	0	1	fbcc-20250930_htm.xml			https://www.sec.gov/ix?doc=/Archives/edgar/data/1825248/000182524825000022/fbcc-20250930.htm
0001193125-25-264873	1675033	GREAT ELM CAPITAL CORP.	US	FL	PALM BEACH GARDENS	33410	3801 PGA BOULEVARD	SUITE 603	617-375-3006	US	FL	PALM BEACH GARDENS	33410	3801 PGA BOULEVARD	SUITE 603	US	MD	812621577			4-NON	0	1231	10-Q	20250930	2025	Q3	20251104	814-01211	2025-11-04 16:43:00.0	0	1	gecc-20250930_htm.xml			https://www.sec.gov/ix?doc=/Archives/edgar/data/1675033/000119312525264873/gecc-20250930.htm
0001193125-25-271491	1950572	BIP VENTURES EVERGREEN BDC	US	GA	ATLANTA	30305	3575 PIEDMONT ROAD	BUILDING 15, SUITE 730	404-410-6476	US	GA	ATLANTA	30305	3575 PIEDMONT ROAD	BUILDING 15, SUITE 730	US	DE	886663716	BIP EVERGREEN VENTURE FUND	20230616	4-NON	0	1231	10-Q	20250930	2025	Q3	20251107	814-01656	2025-11-07 11:19:00.0	0	1	ck0001950572-20250930_htm.xml			https://www.sec.gov/ix?doc=/Archives/edgar/data/1950572/000119312525271491/ck0001950572-20250930.htm
0001193125-25-274163	1655050	BAIN CAPITAL SPECIALTY FINANCE, INC.	US	MA	BOSTON	02116	C/O BAIN CAPITAL CREDIT, LP	200 CLARENDON STREET	(617) 516-2318	US	MA	BOSTON	02116	C/O BAIN CAPITAL CREDIT, LP	200 CLARENDON STREET	US	DE	000000000	SANKATY CAPITAL CORP	20151007	1-LAF	0	1231	10-Q	20250930	2025	Q3	20251110	814-01175	2025-11-10 16:03:00.0	0	1	bcsf-20250930_htm.xml			https://www.sec.gov/ix?doc=/Archives/edgar/data/1655050/000119312525274163/bcsf-20250930.htm
0001493152-25-020943	1509470	SURO CAPITAL CORP.	US	NY	NEW YORK	10019	640 FIFTH AVENUE	12TH FLOOR	(650) 235-4769	US	NY	NEW YORK	10019	640 FIFTH AVENUE	12TH FLOOR	US	MD	274443543	SUTTER ROCK CAPITAL CORP.	20190731	4-NON	0	1231	10-Q	20250930	2025	Q3	20251106	814-00852	2025-11-05 21:20:00.0	0	1	form10-q_htm.xml			https://www.sec.gov/ix?doc=/Archives/edgar/data/1509470/000149315225020943/form10-q.htm
0001747777-25-000048	1747777	BLUE OWL TECHNOLOGY FINANCE CORP.	US	NY	NEW YORK	10022	399 PARK AVENUE		(212) 419-3000	US	NY	NEW YORK	10022	399 PARK AVENUE		US	MD	000000000	OWL ROCK TECHNOLOGY FINANCE CORP.	20180723	4-NON	0	1231	10-Q	20250930	2025	Q3	20251105	814-01284	2025-11-05 16:32:00.0	0	1	ortf-20250930_htm.xml			https://www.sec.gov/ix?doc=/Archives/edgar/data/1747777/000174777725000048/ortf-20250930.htm
0001193125-25-277550	1920145	GOLDMAN SACHS PRIVATE CREDIT CORP.	US	NY	NEW YORK	10282	200 WEST STREET		212-902-0300	US	NY	NEW YORK	10282	200 WEST STREET		US	DE	000000000	GOLDMAN SACHS PRIVATE CREDIT FUND LLC	20220518	4-NON	0	1231	10-Q	20250930	2025	Q3	20251112	814-01627	2025-11-12 16:10:00.0	0	1	ck0001920145-20250930_htm.xml			https://www.sec.gov/ix?doc=/Archives/edgar/data/1920145/000119312525277550/ck0001920145-20250930.htm
0001925531-25-000018	1925531	NEW MOUNTAIN GUARDIAN IV BDC, L.L.C.	US	NY	NEW YORK	10019	1633 BROADWAY	48TH FLOOR	212-720-0300	US	NY	NEW YORK	10019	1633 BROADWAY	48TH FLOOR	US	DE	000000000	NEW MOUNTAIN GUARDIAN IV BDC L.L.C.	20220426	4-NON	0	1231	10-Q	20250930	2025	Q3	20251112	814-01528	2025-11-12 13:44:00.0	0	1	nmg4-20250930_htm.xml			https://www.sec.gov/ix?doc=/Archives/edgar/data/1925531/000192553125000018/nmg4-20250930.htm
0001104659-25-109139	1551901	STELLUS CAPITAL INVESTMENT CORP	US	TX	HOUSTON	77027	4400 POST OAK PARKWAY	SUITE 2200	(713) 292-5400	US	TX	HOUSTON	77027	4400 POST OAK PARKWAY	SUITE 2200	US	MD	000000000			2-ACC	0	1231	10-Q	20250930	2025	Q3	20251110	814-00971	2025-11-10 16:09:00.0	0	1	scm-20250930x10q_htm.xml			https://www.sec.gov/ix?doc=/Archives/edgar/data/1551901/000110465925109139/scm-20250930x10q.htm
0001193125-25-264650	1832148	SLR HC BDC LLC	US	NY	NEW YORK	10022	500 PARK AVENUE	3RD FLOOR	(212) 993-1670	US	NY	NEW YORK	10022	500 PARK AVENUE	3RD FLOOR	US	DE	851801692			4-NON	0	1231	10-Q	20250930	2025	Q3	20251104	814-01382	2025-11-04 16:06:00.0	0	1	ck0001832148-20250930_htm.xml			https://www.sec.gov/ix?doc=/Archives/edgar/data/1832148/000119312525264650/ck0001832148-20250930.htm
0001496099-25-000035	1496099	NEW MOUNTAIN FINANCE CORP	US	NY	NEW YORK	10019	1633 BROADWAY	48TH FLOOR	2127300200	US	NY	NEW YORK	10019	1633 BROADWAY	48TH FLOOR	US		272978010	NEW MOUNTAIN GUARDIAN CORP	20100706	1-LAF	0	1231	10-Q	20250930	2025	Q3	20251103	814-00832	2025-11-03 16:44:00.0	0	1	nmfc-20250930_htm.xml			https://www.sec.gov/ix?doc=/Archives/edgar/data/1496099/000149609925000035/nmfc-20250930.htm
0001628280-25-049617	1422183	FS KKR CAPITAL CORP	US	PA	PHILADELPHIA	19112	201 ROUSE BOULEVARD		215-495-1150	US	PA	PHILADELPHIA	19112	201 ROUSE BOULEVARD		US	MD	261630040	FS INVESTMENT CORP	20080618	1-LAF	0	1231	10-Q	20250930	2025	Q3	20251105	814-00757	2025-11-05 16:30:00.0	0	1	fsk-20250930_htm.xml			https://www.sec.gov/ix?doc=/Archives/edgar/data/1422183/000162828025049617/fsk-20250930.htm
0001911321-25-000014	1911321	KENNEDY LEWIS CAPITAL CO	US	NY	NEW YORK	10281	225 LIBERTY STREET	SUITE 4210	212.782.3482	US	NY	NEW YORK	10281	225 LIBERTY STREET	SUITE 4210	US	DE	886117755	KENNEDY LEWIS CAPITAL HOLDINGS LLC	20221129	4-NON	0	1231	10-Q	20250930	2025	Q3	20251113	814-01603	2025-11-13 16:26:00.0	0	1	ck0001911321-20250930_htm.xml			https://www.sec.gov/ix?doc=/Archives/edgar/data/1911321/000191132125000014/ck0001911321-20250930.htm
0001193125-25-269783	1998387	5C LENDING PARTNERS CORP.	US	NY	RYE	10580	1 STUYVESANT AVENUE		(917) 494-0822	US	NY	RYE	10580	1 STUYVESANT AVENUE		US	MD	000000000			4-NON	0	1231	10-Q	20250930	2025	Q3	20251106	814-01751	2025-11-06 16:38:00.0	0	1	ck0001998387-20250930_htm.xml			https://www.sec.gov/ix?doc=/Archives/edgar/data/1998387/000119312525269783/ck0001998387-20250930.htm
0001193125-25-277881	1634452	AB PRIVATE CREDIT INVESTORS CORP	US	TX	AUSTIN	78701	405 COLORADO STREET	SUITE 1500	(512) 721-2900	US	TX	AUSTIN	78701	405 COLORADO STREET	SUITE 1500	US	NY	000000000	AB PRIVATE CREDIT CORP	20150219	4-NON	0	1231	10-Q	20250930	2025	Q3	20251112	814-01196	2025-11-12 17:02:00.0	0	1	ck0001634452-20250930_htm.xml			https://www.sec.gov/ix?doc=/Archives/edgar/data/1634452/000119312525277881/ck0001634452-20250930.htm
0001143513-25-000015	1143513	GLADSTONE CAPITAL CORP	US	VA	MCLEAN	22102	1521 WESTBRANCH DRIVE	SUITE 100	703-287-5800	US	VA	MCLEAN	22102	1521 WESTBRANCH DRIVE	SUITE 100	US	MD	542040781			4-NON	0	0930	10-K	20250930	2025	FY	20251117	814-00237	2025-11-17 16:03:00.0	0	1	glad-20250930_htm.xml	589377217.00	20250331	https://www.sec.gov/ix?doc=/Archives/edgar/data/1143513/000114351325000015/glad-20250930.htm
0001321741-25-000022	1321741	GLADSTONE INVESTMENT CORPORATIONDE	US	VA	MCLEAN	22102	1521 WESTBRANCH DRIVE	SUITE 100	7032875800	US	VA	MCLEAN	22102	1521 WESTBRANCH DRIVE	SUITE 100	US	DE	830423116			4-NON	0	0331	10-Q	20250930	2026	Q2	20251104	814-00704	2025-11-04 16:10:00.0	0	1	gain-20250930_htm.xml			https://www.sec.gov/ix?doc=/Archives/edgar/data/1321741/000132174125000022/gain-20250930.htm
