adsh	grp	arc	negative	ptag	pversion	ctag	cversion
0001193125-25-269482	3	21	1	GrossInvestmentIncomeOperating	us-gaap/2025	FeesAndOtherIncome	0001193125-25-269482
0001193125-25-269547	5	2	1	IncentiveFeePayable	us-gaap/2025	DeferredIncentiveFeesToBePaidYearTwoAndThree	0001193125-25-269547
0001193125-25-269547	5	1	1	IncentiveFeePayable	us-gaap/2025	DeferredIncentiveFeesToBePaidYearOne	0001193125-25-269547
0001193125-25-269547	5	3	1	IncentiveFeePayable	us-gaap/2025	DeferredIncentiveFeesToBePaidYearFourAndFive	0001193125-25-269547
0001193125-25-269547	5	4	1	IncentiveFeePayable	us-gaap/2025	DeferredIncentiveFeesToBePaidAfterYearFive	0001193125-25-269547
0001193125-25-265807	6	8	-1	IncomeLossAttributableToParent	us-gaap/2025	OperatingExpenses	us-gaap/2025
0001193125-25-265688	3	1	1	IncreaseDecreaseInOtherOperatingCapitalNet	us-gaap/2025	NetInvestmentIncome	us-gaap/2025
0001193125-25-265688	3	2	1	IncreaseDecreaseInOtherOperatingCapitalNet	us-gaap/2025	RealizedInvestmentGainsLosses	us-gaap/2025
0001193125-25-265688	3	3	1	IncreaseDecreaseInOtherOperatingCapitalNet	us-gaap/2025	UnrealizedGainLossOnInvestments	us-gaap/2025
0001193125-25-272093	4	3	1	InterestAndDebtExpense	us-gaap/2025	EffectOfInterestRateSwap	0001193125-25-272093
0001193125-25-274163	11	3	1	InterestAndDebtExpense	us-gaap/2025	AmortizationOfDeferredFinancingCostsAndUpfrontCommitmentFees	0001193125-25-274163
0001193125-25-272318	1	4	1	InterestAndDebtExpense	us-gaap/2025	LineOfCreditFacilityAdministrationFees	0001193125-25-272318
0001193125-25-269840	10	2	1	InterestAndDebtExpense	us-gaap/2025	FacilityFees	0001193125-25-269840
0001193125-25-271488	8	2	1	InterestAndDebtExpense	us-gaap/2025	LineOfCreditFacilityCommitmentFeeAmount	us-gaap/2025
0001193125-25-272093	4	2	1	InterestAndDebtExpense	us-gaap/2025	LineOfCreditFacilityCommitmentFeeAmount	us-gaap/2025
0001193125-25-272318	1	2	1	InterestAndDebtExpense	us-gaap/2025	LineOfCreditFacilityCommitmentFeeAmount	us-gaap/2025
0001193125-25-274163	11	2	1	InterestAndDebtExpense	us-gaap/2025	LineOfCreditFacilityCommitmentFeeAmount	us-gaap/2025
0001193125-25-274163	10	2	1	InterestAndDebtExpense	us-gaap/2025	LineOfCreditFacilityCommitmentFeeAmount	us-gaap/2025
0001193125-25-269116	5	3	1	InterestAndDebtExpense	us-gaap/2025	AmortizationOfFinancingCosts	us-gaap/2025
0001193125-25-268125	9	2	1	InterestAndDebtExpense	us-gaap/2025	AmortizationOfFinancingCostsAndDiscounts	us-gaap/2025
0001193125-25-266848	2	4	1	InterestAndDebtExpense	us-gaap/2025	DebtRelatedCommitmentFeesAndDebtIssuanceCosts	us-gaap/2025
0001193125-25-268125	9	3	1	InterestAndDebtExpense	us-gaap/2025	DebtInstrumentUnusedBorrowingCapacityFee	us-gaap/2025
0001193125-25-271820	2	3	1	InterestAndDebtExpense	us-gaap/2025	DebtInstrumentUnusedBorrowingCapacityFee	us-gaap/2025
0001193125-25-271820	2	2	1	InterestAndDebtExpense	us-gaap/2025	AmortizationOfFinancingCostsAndDiscounts	us-gaap/2025
0001193125-25-269489	4	1	1	InterestAndDebtExpense	us-gaap/2025	AmortizationOfFinancingCosts	us-gaap/2025
0001193125-25-266848	2	5	1	InterestAndDebtExpense	us-gaap/2025	AmortizationOfFinancingCosts	us-gaap/2025
0001193125-25-269840	10	3	1	InterestAndDebtExpense	us-gaap/2025	AmortizationOfFinancingCosts	us-gaap/2025
0001193125-25-272093	4	4	1	InterestAndDebtExpense	us-gaap/2025	AmortizationOfFinancingCosts	us-gaap/2025
0001193125-25-272318	1	3	1	InterestAndDebtExpense	us-gaap/2025	AmortizationOfFinancingCosts	us-gaap/2025
0001193125-25-274163	10	3	1	InterestAndDebtExpense	us-gaap/2025	AmortizationOfDebtDiscountPremium	us-gaap/2025
0001193125-25-266848	2	2	1	InterestAndDebtExpense	us-gaap/2025	AmortizationOfDebtDiscountPremium	us-gaap/2025
0001193125-25-271488	8	3	1	InterestAndDebtExpense	us-gaap/2025	AmortizationOfFinancingCosts	us-gaap/2025
0001193125-25-271488	8	1	1	InterestAndDebtExpense	us-gaap/2025	InterestExpenseDebtExcludingAmortization	us-gaap/2025
0001193125-25-268125	9	1	1	InterestAndDebtExpense	us-gaap/2025	InterestExpenseDebt	us-gaap/2025
0001193125-25-266848	2	3	1	InterestAndDebtExpense	us-gaap/2025	InterestExpenseDebt	us-gaap/2025
0001193125-25-269116	5	1	1	InterestAndDebtExpense	us-gaap/2025	InterestExpenseDebtExcludingAmortization	us-gaap/2025
0001193125-25-269489	4	2	1	InterestAndDebtExpense	us-gaap/2025	InterestExpense	us-gaap/2025
0001193125-25-271820	2	1	1	InterestAndDebtExpense	us-gaap/2025	InterestExpenseDebt	us-gaap/2025
0001193125-25-272318	1	1	1	InterestAndDebtExpense	us-gaap/2025	InterestExpenseDebt	us-gaap/2025
0001193125-25-274163	10	1	1	InterestAndDebtExpense	us-gaap/2025	InterestExpenseDebt	us-gaap/2025
0001193125-25-274163	11	1	1	InterestAndDebtExpense	us-gaap/2025	InterestExpenseDebt	us-gaap/2025
0001193125-25-274163	12	1	1	InterestAndDebtExpense	us-gaap/2025	InterestExpenseDebt	us-gaap/2025
0001193125-25-272093	4	1	1	InterestAndDebtExpense	us-gaap/2025	InterestExpenseDebt	us-gaap/2025
0001193125-25-269840	10	1	1	InterestAndDebtExpense	us-gaap/2025	FinancingInterestExpense	us-gaap/2025
0001193125-25-271605	4	2	1	InterestExpense	us-gaap/2025	InterestExpenseDebt	us-gaap/2025
0001193125-25-269783	3	1	1	InterestExpense	us-gaap/2025	InterestExpenseDebt	us-gaap/2025
0001193125-25-269547	9	2	1	InterestExpense	us-gaap/2025	InterestExpenseDebtExcludingAmortization	us-gaap/2025
0001193125-25-271605	4	1	1	InterestExpense	us-gaap/2025	AmortizationOfFinancingCosts	us-gaap/2025
0001193125-25-269783	3	3	1	InterestExpense	us-gaap/2025	AmortizationOfFinancingCosts	us-gaap/2025
0001193125-25-269547	9	3	1	InterestExpense	us-gaap/2025	AmortizationOfFinancingCosts	us-gaap/2025
0001193125-25-269783	3	2	1	InterestExpense	us-gaap/2025	LineOfCreditFacilityCommitmentFeeAmount	us-gaap/2025
0001193125-25-269547	9	1	1	InterestExpense	us-gaap/2025	UnusedFeesAndOtherDebtFees	0001193125-25-269547
0001193125-25-269840	7	2	-1	InterestExpenseDebt	us-gaap/2025	GainLossFromInterestRateSwapAccountedForHedges	0001193125-25-269840
0001193125-25-269840	11	2	-1	InterestExpenseDebt	us-gaap/2025	GainLossFromInterestRateSwapAccountedForHedges	0001193125-25-269840
0001193125-25-269840	11	3	-1	InterestExpenseDebt	us-gaap/2025	GainLossFromHedgingItems	0001193125-25-269840
0001193125-25-269840	7	3	-1	InterestExpenseDebt	us-gaap/2025	GainLossFromHedgingItems	0001193125-25-269840
0001193125-25-264873	8	3	1	InterestExpenseDebt	us-gaap/2025	AcquisitionDiscountExpensedAtTimeOfRedemption	0001193125-25-264873
0001193125-25-264873	8	2	1	InterestExpenseDebt	us-gaap/2025	AmortizationOfAcquisitionPremium	0001193125-25-264873
0001193125-25-271826	6	3	1	InterestExpenseDebt	us-gaap/2025	LineOfCreditFacilityCommitmentFeeAmount	us-gaap/2025
0001193125-25-271826	6	2	1	InterestExpenseDebt	us-gaap/2025	AmortizationOfFinancingCosts	us-gaap/2025
0001193125-25-269840	11	4	1	InterestExpenseDebt	us-gaap/2025	AmortizationOfFinancingCosts	us-gaap/2025
0001193125-25-269840	7	4	1	InterestExpenseDebt	us-gaap/2025	AmortizationOfFinancingCosts	us-gaap/2025
0001193125-25-269840	13	2	1	InterestExpenseDebt	us-gaap/2025	AmortizationOfFinancingCosts	us-gaap/2025
0001193125-25-265688	2	2	1	InterestExpenseDebt	us-gaap/2025	AmortizationOfFinancingCosts	us-gaap/2025
0001193125-25-268125	1	2	1	InterestExpenseDebt	us-gaap/2025	AmortizationOfDebtDiscountPremium	us-gaap/2025
0001193125-25-271826	6	1	1	InterestExpenseDebt	us-gaap/2025	InterestExpenseDebtExcludingAmortization	us-gaap/2025
0001193125-25-264873	8	1	1	InterestExpenseDebt	us-gaap/2025	InterestExpenseDebtExcludingAmortization	us-gaap/2025
0001193125-25-269840	11	1	1	InterestExpenseDebt	us-gaap/2025	InterestExpenseBorrowings	us-gaap/2025
0001193125-25-269840	13	1	1	InterestExpenseDebt	us-gaap/2025	InterestExpenseBorrowings	us-gaap/2025
0001193125-25-269840	7	1	1	InterestExpenseDebt	us-gaap/2025	InterestExpenseBorrowings	us-gaap/2025
0001193125-25-265688	2	1	1	InterestExpenseDebt	us-gaap/2025	InterestExpense	us-gaap/2025
0001193125-25-269783	4	7	1	InvestmentCompanyDistributionToShareholdersPerShare	us-gaap/2025	InvestmentCompanyInvestmentIncomeDistributionToPreferredShareholdersPerShare	0001193125-25-269783
0001193125-25-264654	3	3	1	InvestmentCompanyDividendDistribution	us-gaap/2025	InvestmentCompanyReturnOfCapitalDistribution	0001193125-25-264654
0001193125-25-264650	4	4	1	InvestmentCompanyDividendDistribution	us-gaap/2025	InvestmentCompanyDistributionOrdinaryIncomeOne	0001193125-25-264650
0001193125-25-264654	3	2	1	InvestmentCompanyDividendDistribution	us-gaap/2025	InvestmentCompanyEarningsDistribution	0001193125-25-264654
0001193125-25-264650	4	5	1	InvestmentCompanyDividendDistribution	us-gaap/2025	InvestmentCompanyTaxReturnOfCapitalDistribution	us-gaap/2025
0001193125-25-269512	8	4	1	InvestmentCompanyDividendDistribution	us-gaap/2025	InvestmentCompanyDistributionOrdinaryIncome	us-gaap/2025
0001193125-25-269783	1	12	-1	InvestmentCompanyExpenseAfterReductionOfFeeWaiverAndReimbursement	us-gaap/2025	InvestmentCompanyExpenseOffsetArrangement	us-gaap/2025
0001193125-25-272318	3	17	-1	InvestmentCompanyExpenseAfterReductionOfFeeWaiverAndReimbursement	us-gaap/2025	InvestmentCompanyExpenseOffsetArrangement	us-gaap/2025
0001193125-25-269438	3	18	-1	InvestmentCompanyExpenseAfterReductionOfFeeWaiverAndReimbursement	us-gaap/2025	InvestmentCompanyIncentiveFeeContractualFeeWaived	us-gaap/2025
0001193125-25-269489	3	18	-1	InvestmentCompanyExpenseAfterReductionOfFeeWaiverAndReimbursement	us-gaap/2025	InvestmentCompanyManagementFeeWaived	us-gaap/2025
0001193125-25-266848	3	24	-1	InvestmentCompanyExpenseAfterReductionOfFeeWaiverAndReimbursement	us-gaap/2025	InvestmentCompanyManagementFeeWaived	us-gaap/2025
0001193125-25-269438	3	17	-1	InvestmentCompanyExpenseAfterReductionOfFeeWaiverAndReimbursement	us-gaap/2025	InvestmentCompanyManagementFeeContractualFeeWaived	us-gaap/2025
0001193125-25-264654	2	4	1	InvestmentCompanyExpenseAfterReductionOfFeeWaiverAndReimbursement	us-gaap/2025	InvestmentIncomeInvestmentExpense	us-gaap/2025
0001193125-25-266848	3	15	1	InvestmentCompanyExpenseAfterReductionOfFeeWaiverAndReimbursement	us-gaap/2025	InvestmentIncomeInvestmentExpense	us-gaap/2025
0001193125-25-269438	3	9	1	InvestmentCompanyExpenseAfterReductionOfFeeWaiverAndReimbursement	us-gaap/2025	InvestmentIncomeInvestmentExpense	us-gaap/2025
0001193125-25-269489	3	10	1	InvestmentCompanyExpenseAfterReductionOfFeeWaiverAndReimbursement	us-gaap/2025	InvestmentIncomeInvestmentExpense	us-gaap/2025
0001193125-25-272318	3	7	1	InvestmentCompanyExpenseAfterReductionOfFeeWaiverAndReimbursement	us-gaap/2025	InvestmentIncomeInvestmentExpense	us-gaap/2025
0001193125-25-269783	1	15	1	InvestmentCompanyExpenseAfterReductionOfFeeWaiverAndReimbursement	us-gaap/2025	InvestmentIncomeInvestmentExpense	us-gaap/2025
0001193125-25-269482	3	11	1	InvestmentCompanyExpenseAfterReductionOfFeeWaiverAndReimbursement	us-gaap/2025	InvestmentIncomeInvestmentExpense	us-gaap/2025
0001193125-25-271488	6	5	1	InvestmentCompanyExpenseAfterReductionOfFeeWaiverAndReimbursement	us-gaap/2025	InvestmentIncomeInvestmentExpense	us-gaap/2025
0001193125-25-269783	1	13	-1	InvestmentCompanyExpenseAfterReductionOfFeeWaiverAndReimbursement	us-gaap/2025	InvestmentCompanyVoluntaryFeeWaived	us-gaap/2025
0001193125-25-264654	2	3	-1	InvestmentCompanyExpenseAfterReductionOfFeeWaiverAndReimbursement	us-gaap/2025	InvestmentCompanyPerformanceBasedIncentiveFeesWaived	0001193125-25-264654
0001193125-25-269512	2	17	-1	InvestmentCompanyExpenseAfterReductionOfFeeWaiverAndReimbursement	us-gaap/2025	RecoveryOfDirectCosts	us-gaap/2025
0001193125-25-269482	3	10	-1	InvestmentCompanyExpenseAfterReductionOfFeeWaiverAndReimbursement	us-gaap/2025	InvestmentCompanyPerformance-BasedIncentiveFeesWaived	0001193125-25-269482
0001193125-25-269783	1	11	-1	InvestmentCompanyExpenseAfterReductionOfFeeWaiverAndReimbursement	us-gaap/2025	ManagementFeesWaived	0001193125-25-269783
0001193125-25-269783	1	14	1	InvestmentCompanyExpenseAfterReductionOfFeeWaiverAndReimbursement	us-gaap/2025	ReimbursementOfExpenseSupport	0001193125-25-269783
0001193125-25-271488	6	16	-1	InvestmentCompanyExpenseAfterReductionOfFeeWaiverAndReimbursement	us-gaap/2025	InvestmentCompanyExpenseSupportAndWaivers	0001193125-25-271488
0001193125-25-269512	2	18	1	InvestmentCompanyExpenseAfterReductionOfFeeWaiverAndReimbursement	us-gaap/2025	OperatingExpenses	us-gaap/2025
0001193125-25-264654	6	3	1	InvestmentCompanyExpenseRatioAfterIncentiveAllocation	us-gaap/2025	InvestmentCompanyInterestAndOtherCreditFacilityExpensesRatioAfterIncentiveAllocation	0001193125-25-264654
0001193125-25-264654	6	4	1	InvestmentCompanyExpenseRatioAfterIncentiveAllocation	us-gaap/2025	InvestmentCompanyOperatingExpensesRatioAfterIncentiveAllocation	0001193125-25-264654
0001193125-25-264650	6	4	1	InvestmentCompanyExpenseRatioAfterIncentiveAllocation	us-gaap/2025	InvestmentCompanyInterestAndOtherCreditFacilityExpensesToAverageNetAssets	0001193125-25-264650
0001193125-25-264650	6	3	1	InvestmentCompanyExpenseRatioAfterIncentiveAllocation	us-gaap/2025	InvestmentCompanyOperatingExpensesToAverageNetAssets	0001193125-25-264650
0001193125-25-269512	4	3	1	InvestmentCompanyExpenseRatioIncludingIncentiveFee	us-gaap/2025	InvestmentCompanyAnnualizedRatioOfOperatingExpensesToAverageNetAssets	0001193125-25-269512
0001193125-25-269512	4	4	1	InvestmentCompanyExpenseRatioIncludingIncentiveFee	us-gaap/2025	InvestmentCompanyAnnualizedRatioOfInterestAndOtherDebtExpensesToAverageNetAssets	0001193125-25-269512
0001193125-25-269840	4	10	-1	InvestmentCompanyIncreaseDecreaseFromShareTransaction	us-gaap/2025	StockRepurchasedDuringPeriodIncludingCommissionsAndDirectAcquisitionCosts	0001193125-25-269840
0001193125-25-269482	5	9	1	InvestmentCompanyIncreaseDecreaseFromShareTransaction	us-gaap/2025	StockIssued1	us-gaap/2025
0001193125-25-269482	5	7	1	InvestmentCompanyIncreaseDecreaseFromShareTransaction	us-gaap/2025	StockIssuedDuringPeriodValueDividendReinvestmentPlan	us-gaap/2025
0001193125-25-269840	4	9	1	InvestmentCompanyIncreaseDecreaseFromShareTransaction	us-gaap/2025	StockIssuedDuringPeriodValueDividendReinvestmentPlan	us-gaap/2025
0001193125-25-271488	4	3	1	InvestmentCompanyIncreaseDecreaseFromShareTransaction	us-gaap/2025	StockIssuedDuringPeriodValueDividendReinvestmentPlan	us-gaap/2025
0001193125-25-272318	2	3	1	InvestmentCompanyIncreaseDecreaseFromShareTransaction	us-gaap/2025	StockIssuedDuringPeriodValueDividendReinvestmentPlan	us-gaap/2025
0001193125-25-269482	5	8	-1	InvestmentCompanyIncreaseDecreaseFromShareTransaction	us-gaap/2025	StockRepurchasedDuringPeriodValue	us-gaap/2025
0001193125-25-269512	8	5	-1	InvestmentCompanyIncreaseDecreaseFromShareTransaction	us-gaap/2025	StockRepurchasedDuringPeriodValue	us-gaap/2025
0001193125-25-269512	8	6	1	InvestmentCompanyIncreaseDecreaseFromShareTransaction	us-gaap/2025	StockIssuedDuringPeriodValueNewIssues	us-gaap/2025
0001193125-25-272318	2	2	1	InvestmentCompanyIncreaseDecreaseFromShareTransaction	us-gaap/2025	StockIssuedDuringPeriodValueNewIssues	us-gaap/2025
0001193125-25-271488	4	4	1	InvestmentCompanyIncreaseDecreaseFromShareTransaction	us-gaap/2025	StockIssuedDuringPeriodValueNewIssues	us-gaap/2025
0001193125-25-269840	4	8	1	InvestmentCompanyIncreaseDecreaseFromShareTransaction	us-gaap/2025	StockIssuedDuringPeriodValueNewIssues	us-gaap/2025
0001193125-25-264873	6	8	1	InvestmentCompanyIncreaseDecreaseFromShareTransaction	us-gaap/2025	StockIssuedDuringPeriodValueNewIssues	us-gaap/2025
0001193125-25-271151	6	5	1	InvestmentCompanyInvestmentIncomeLossFromOperationsPerShare	us-gaap/2025	InvestmentCompanyUnrealizedGainLossOnInvestmentPerShare	us-gaap/2025
0001193125-25-269547	7	3	1	InvestmentCompanyInvestmentIncomeLossFromOperationsPerShare	us-gaap/2025	InvestmentCompanyUnrealizedGainLossOnInvestmentPerShare	us-gaap/2025
0001193125-25-269840	3	2	1	InvestmentCompanyInvestmentIncomeLossFromOperationsPerShare	us-gaap/2025	InvestmentCompanyInvestmentIncomeLossPerShare	us-gaap/2025
0001193125-25-269512	4	1	1	InvestmentCompanyInvestmentIncomeLossFromOperationsPerShare	us-gaap/2025	InvestmentCompanyInvestmentIncomeLossPerShare	us-gaap/2025
0001193125-25-269547	7	1	1	InvestmentCompanyInvestmentIncomeLossFromOperationsPerShare	us-gaap/2025	InvestmentCompanyInvestmentIncomeLossPerShare	us-gaap/2025
0001193125-25-271151	6	6	1	InvestmentCompanyInvestmentIncomeLossFromOperationsPerShare	us-gaap/2025	InvestmentCompanyInvestmentIncomeLossPerShare	us-gaap/2025
0001193125-25-271488	1	1	1	InvestmentCompanyInvestmentIncomeLossFromOperationsPerShare	us-gaap/2025	InvestmentCompanyInvestmentIncomeLossPerShare	us-gaap/2025
0001193125-25-269783	4	2	1	InvestmentCompanyInvestmentIncomeLossFromOperationsPerShare	us-gaap/2025	InvestmentCompanyInvestmentIncomeLossPerShare	us-gaap/2025
0001193125-25-271151	6	4	1	InvestmentCompanyInvestmentIncomeLossFromOperationsPerShare	us-gaap/2025	InvestmentCompanyRealizedGainLossOnInvestmentPerShare	us-gaap/2025
0001193125-25-269547	7	2	1	InvestmentCompanyInvestmentIncomeLossFromOperationsPerShare	us-gaap/2025	InvestmentCompanyRealizedGainLossOnInvestmentPerShare	us-gaap/2025
0001193125-25-269783	4	3	1	InvestmentCompanyInvestmentIncomeLossFromOperationsPerShare	us-gaap/2025	InvestmentCompanyGainLossOnInvestmentPerShare	us-gaap/2025
0001193125-25-269840	3	3	1	InvestmentCompanyInvestmentIncomeLossFromOperationsPerShare	us-gaap/2025	InvestmentCompanyGainLossOnInvestmentPerShare	us-gaap/2025
0001193125-25-271488	1	2	1	InvestmentCompanyInvestmentIncomeLossFromOperationsPerShare	us-gaap/2025	InvestmentCompanyGainLossOnInvestmentPerShare	us-gaap/2025
0001193125-25-266848	7	4	1	InvestmentCompanyInvestmentIncomeLossFromOperationsPerShare	us-gaap/2025	InvestmentCompanyInvestmentIncomeLossPerShare	us-gaap/2025
0001193125-25-265807	2	2	1	InvestmentCompanyInvestmentIncomeLossFromOperationsPerShare	us-gaap/2025	InvestmentCompanyInvestmentIncomeLossPerShare	us-gaap/2025
0001193125-25-265688	4	1	1	InvestmentCompanyInvestmentIncomeLossFromOperationsPerShare	us-gaap/2025	InvestmentCompanyInvestmentIncomeLossPerShare	us-gaap/2025
0001193125-25-264650	6	1	1	InvestmentCompanyInvestmentIncomeLossFromOperationsPerShare	us-gaap/2025	InvestmentCompanyInvestmentIncomeLossPerShare	us-gaap/2025
0001193125-25-264873	1	1	1	InvestmentCompanyInvestmentIncomeLossFromOperationsPerShare	us-gaap/2025	InvestmentCompanyInvestmentIncomeLossPerShare	us-gaap/2025
0001193125-25-264654	6	1	1	InvestmentCompanyInvestmentIncomeLossFromOperationsPerShare	us-gaap/2025	InvestmentCompanyInvestmentIncomeLossPerShare	us-gaap/2025
0001193125-25-269512	4	2	1	InvestmentCompanyInvestmentIncomeLossFromOperationsPerShare	us-gaap/2025	InvestmentCompanyGainLossOnInvestmentPerShare	us-gaap/2025
0001193125-25-266848	7	5	1	InvestmentCompanyInvestmentIncomeLossFromOperationsPerShare	us-gaap/2025	InvestmentCompanyGainLossOnInvestmentPerShare	us-gaap/2025
0001193125-25-265688	4	2	1	InvestmentCompanyInvestmentIncomeLossFromOperationsPerShare	us-gaap/2025	InvestmentCompanyGainLossOnInvestmentPerShare	us-gaap/2025
0001193125-25-265807	2	3	1	InvestmentCompanyInvestmentIncomeLossFromOperationsPerShare	us-gaap/2025	InvestmentCompanyGainLossOnInvestmentPerShare	us-gaap/2025
0001193125-25-264654	6	2	1	InvestmentCompanyInvestmentIncomeLossFromOperationsPerShare	us-gaap/2025	InvestmentCompanyGainLossOnInvestmentPerShare	us-gaap/2025
0001193125-25-264873	1	3	1	InvestmentCompanyInvestmentIncomeLossFromOperationsPerShare	us-gaap/2025	InvestmentCompanyGainLossOnInvestmentPerShare	us-gaap/2025
0001193125-25-264650	6	2	1	InvestmentCompanyInvestmentIncomeLossFromOperationsPerShare	us-gaap/2025	InvestmentCompanyGainLossOnInvestmentPerShare	us-gaap/2025
0001193125-25-264873	1	2	1	InvestmentCompanyInvestmentIncomeLossFromOperationsPerShare	us-gaap/2025	InvestmentCompanyNetChangesInUnrealizedAppreciationDepreciation	0001193125-25-264873
0001193125-25-272093	3	2	1	InvestmentCompanyNetAssetValuePerSharePeriodIncreaseDecrease	us-gaap/2025	InvestmentCompanyNetUnrealizedAppreciationDepreciation	0001193125-25-272093
0001193125-25-271151	6	2	1	InvestmentCompanyNetAssetValuePerSharePeriodIncreaseDecrease	us-gaap/2025	InvestmentCompanyEffectOfStockDividend	0001193125-25-271151
0001193125-25-269783	4	4	1	InvestmentCompanyNetAssetValuePerSharePeriodIncreaseDecrease	us-gaap/2025	InvestmentCompanyNetAssetsApplicableToCommonShareholdersFromCapitalShareTransactionsPeriodIncreaseDecrease	0001193125-25-269783
0001193125-25-272093	3	3	1	InvestmentCompanyNetAssetValuePerSharePeriodIncreaseDecrease	us-gaap/2025	InvestmentCompanyGainLossOnInvestmentPerShare	us-gaap/2025
0001193125-25-269840	3	1	1	InvestmentCompanyNetAssetValuePerSharePeriodIncreaseDecrease	us-gaap/2025	InvestmentCompanyInvestmentIncomeLossFromOperationsPerShare	us-gaap/2025
0001193125-25-269783	4	1	1	InvestmentCompanyNetAssetValuePerSharePeriodIncreaseDecrease	us-gaap/2025	InvestmentCompanyInvestmentIncomeLossFromOperationsPerShare	us-gaap/2025
0001193125-25-271151	6	3	1	InvestmentCompanyNetAssetValuePerSharePeriodIncreaseDecrease	us-gaap/2025	InvestmentCompanyInvestmentIncomeLossFromOperationsPerShare	us-gaap/2025
0001193125-25-265807	2	1	1	InvestmentCompanyNetAssetValuePerSharePeriodIncreaseDecrease	us-gaap/2025	InvestmentCompanyInvestmentIncomeLossFromOperationsPerShare	us-gaap/2025
0001193125-25-266848	7	3	1	InvestmentCompanyNetAssetValuePerSharePeriodIncreaseDecrease	us-gaap/2025	InvestmentCompanyInvestmentIncomeLossFromOperationsPerShare	us-gaap/2025
0001193125-25-266848	7	2	-1	InvestmentCompanyNetAssetValuePerSharePeriodIncreaseDecrease	us-gaap/2025	InvestmentCompanyDistributionToShareholdersPerShare	us-gaap/2025
0001193125-25-265807	2	6	-1	InvestmentCompanyNetAssetValuePerSharePeriodIncreaseDecrease	us-gaap/2025	InvestmentCompanyDistributionToShareholdersPerShare	us-gaap/2025
0001193125-25-265688	4	3	-1	InvestmentCompanyNetAssetValuePerSharePeriodIncreaseDecrease	us-gaap/2025	InvestmentCompanyDistributionToShareholdersPerShare	us-gaap/2025
0001193125-25-271151	6	1	-1	InvestmentCompanyNetAssetValuePerSharePeriodIncreaseDecrease	us-gaap/2025	InvestmentCompanyDistributionToShareholdersPerShare	us-gaap/2025
0001193125-25-269783	4	6	-1	InvestmentCompanyNetAssetValuePerSharePeriodIncreaseDecrease	us-gaap/2025	InvestmentCompanyDistributionToShareholdersPerShare	us-gaap/2025
0001193125-25-269840	3	4	1	InvestmentCompanyNetAssetValuePerSharePeriodIncreaseDecrease	us-gaap/2025	InvestmentCompanyRepurchaseOfSharesPerShare	us-gaap/2025
0001193125-25-269840	3	6	1	InvestmentCompanyNetAssetValuePerSharePeriodIncreaseDecrease	us-gaap/2025	InvestmentCompanyTaxReturnOfCapitalDistributionPerShare	us-gaap/2025
0001193125-25-272093	3	1	1	InvestmentCompanyNetAssetValuePerSharePeriodIncreaseDecrease	us-gaap/2025	InvestmentCompanyInvestmentIncomeLossPerShare	us-gaap/2025
0001193125-25-269840	3	5	1	InvestmentCompanyNetAssetValuePerSharePeriodIncreaseDecrease	us-gaap/2025	InvestmentCompanyIssuanceOfSharesPerShare	us-gaap/2025
0001193125-25-266848	7	1	-1	InvestmentCompanyNetAssetValuePerSharePeriodIncreaseDecrease	us-gaap/2025	InvestmentCompanyIssuanceOfSharesPerShare	us-gaap/2025
0001193125-25-272093	3	4	1	InvestmentCompanyNetAssetValuePerSharePeriodIncreaseDecrease	us-gaap/2025	ExtinguishmentOfDebtGainLossPerShareNetOfTax	us-gaap/2025
0001193125-25-264654	1	2	1	InvestmentCompanyRealizedAndUnrealizedGainLossOnInvestmentAndForeignCurrency	us-gaap/2025	UnrealizedGainLossOnInvestments	us-gaap/2025
0001193125-25-269783	1	3	1	InvestmentCompanyRealizedAndUnrealizedGainLossOnInvestmentAndForeignCurrency	us-gaap/2025	NetChangeInUnrealizedGainsLosses	0001193125-25-269783
0001193125-25-269783	1	6	1	InvestmentCompanyRealizedAndUnrealizedGainLossOnInvestmentAndForeignCurrency	us-gaap/2025	TotalRealizedGainsLosses	0001193125-25-269783
0001193125-25-264650	3	14	1	InvestmentCompanyRealizedAndUnrealizedGainLossOnInvestmentAndForeignCurrency	us-gaap/2025	UnrealizedGainLossOnInvestments	us-gaap/2025
0001193125-25-264654	2	15	1	InvestmentCompanyRealizedAndUnrealizedGainLossOnInvestmentAndForeignCurrency	us-gaap/2025	UnrealizedGainLossOnInvestments	us-gaap/2025
0001193125-25-264653	1	14	1	InvestmentCompanyRealizedAndUnrealizedGainLossOnInvestmentAndForeignCurrency	us-gaap/2025	UnrealizedGainLossOnInvestments	us-gaap/2025
0001193125-25-269512	2	6	1	InvestmentCompanyRealizedAndUnrealizedGainLossOnInvestmentAndForeignCurrency	us-gaap/2025	UnrealizedGainLossInvestmentDerivativeAndForeignCurrencyTransactionPriceChangeOperatingAfterTax	us-gaap/2025
0001193125-25-266848	3	7	1	InvestmentCompanyRealizedAndUnrealizedGainLossOnInvestmentAndForeignCurrency	us-gaap/2025	UnrealizedGainLossInvestmentDerivativeAndForeignCurrencyTransactionOperatingAfterTax	us-gaap/2025
0001193125-25-264654	1	3	1	InvestmentCompanyRealizedAndUnrealizedGainLossOnInvestmentAndForeignCurrency	us-gaap/2025	RealizedInvestmentGainsLosses	us-gaap/2025
